"type","quality","fixedAcidity","volatileAcidity","citricAcid","residualSugar","chlorides","freeSulfurDioxide","totalSulfurDioxide","density","pH","sulphates","alcohol"
"white",6,6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2
"white",6,5.6,0.295,0.26,1.1,0.035,40,102,0.99154,3.47,0.56,10.6
"white",6,7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7
"white",6,6.6,0.39,0.38,9.7,0.053,49,226,0.99787,3.3,0.57,9.4
"white",6,9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4
"white",6,6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1
"white",6,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2
"red",6,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4
"red",6,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5
"white",6,6.9,0.3,0.36,0.9,0.037,40,156,0.98968,3.08,0.36,12.1
"white",6,6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3
"red",6,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14
"red",6,6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3
"white",6,4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8
"white",6,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9
"red",6,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7
"red",6,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2
"red",6,6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7
"red",6,7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1
"white",6,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5
"white",6,6.8,0.21,0.42,1.2,0.045,24,126,0.99234,3.09,0.87,10.9
"red",6,10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5
"red",6,6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8
"red",6,10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4
"white",6,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6
"red",6,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9
"red",6,7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6
"white",6,6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5
"white",6,6.6,0.23,0.32,1.7,0.024,26,102,0.99084,3.29,0.6,11.8
"white",6,5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3
"white",6,6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1
"white",6,6.7,0.13,0.57,6.6,0.056,60,150,0.99548,2.96,0.43,9.4
"red",6,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2
"white",6,8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3
"red",6,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6
"white",6,8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7
"white",6,6.7,0.66,0,13,0.033,32,75,0.99551,3.15,0.5,10.7
"white",6,7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5
"white",6,7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4
"white",6,6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4
"white",6,6.4,0.35,0.28,12.6,0.039,19,124,0.99539,3.2,0.43,10.6
"white",6,6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6
"red",6,7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6
"white",6,7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3
"white",6,9.4,0.17,0.55,1.6,0.049,14,94,0.9949,3.02,0.61,10.3
"white",6,7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8
"white",6,7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9
"red",6,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5
"white",6,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5
"white",6,7.1,0.21,0.3,1.4,0.037,45,143,0.9932,3.13,0.33,9.9
"white",6,5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4
"white",6,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5
"red",6,6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4
"white",6,7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2
"white",6,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11
"red",6,8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3
"red",6,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5
"red",6,7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5
"white",6,7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4
"white",6,7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8
"white",6,7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11
"white",6,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5
"white",6,7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1
"white",6,8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9
"white",6,6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10
"red",6,5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2
"red",6,9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3
"white",6,6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4
"white",6,5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9
"white",6,6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2
"red",6,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1
"white",6,7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2
"white",6,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1
"white",6,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2
"red",6,8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9
"white",6,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9
"white",6,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4
"red",6,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1
"white",6,6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8
"white",6,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7
"white",6,5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2
"white",6,6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5
"white",6,8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9
"white",6,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2
"white",6,5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3
"red",6,8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6
"white",6,6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4
"white",6,7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9
"red",6,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3
"white",6,7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8
"red",6,7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6
"white",6,7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9
"white",6,5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6
"white",6,5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7
"red",6,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1
"white",6,6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1
"white",6,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8
"red",6,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6
"red",6,9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5
"white",6,7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2
"white",6,6.3,0.14,0.39,1.2,0.044,26,116,0.992,3.26,0.53,10.3
"red",6,5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3
"white",6,6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10
"white",6,6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3
"white",6,5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6
"white",6,6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2
"white",6,8.2,0.18,0.31,11.8,0.039,96,249,0.9976,3.07,0.52,9.5
"white",6,6,0.32,0.32,4.8,0.041,40,186,0.99235,3.22,0.54,11
"white",6,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8
"red",6,7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11
"white",6,7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3
"white",6,6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4
"white",6,8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8
"white",6,7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8
"red",6,10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3
"white",6,8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3
"white",6,7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5
"white",6,5.7,0.36,0.34,4.2,0.026,21,77,0.9907,3.41,0.45,11.9
"red",6,7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7
"white",6,7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9
"white",6,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2
"white",6,6.5,0.31,0.61,13,0.053,31,123,0.99708,3.09,0.5,9.3
"white",6,6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11
"red",6,9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5
"red",6,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5
"white",6,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9
"white",6,7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9
"white",6,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2
"white",6,6.4,0.23,0.37,7.9,0.05,60,150,0.99488,2.86,0.49,9.3
"white",6,6.8,0.4,0.29,2.8,0.044,27,97,0.9904,3.12,0.42,11.2
"white",6,7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8
"white",6,8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10
"white",6,10,0.23,0.27,14.1,0.033,45,166,0.9988,2.72,0.43,9.7
"white",6,6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4
"white",6,7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6
"white",6,6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5
"white",6,6.9,0.2,0.36,1.5,0.031,38,147,0.9931,3.35,0.56,11
"red",6,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.56666666666667
"white",6,5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7
"red",6,9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9
"white",6,7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11
"red",6,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7
"white",6,7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9
"white",6,7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1
"white",6,7.1,0.38,0.42,11.8,0.041,32,193,0.99624,3.04,0.49,10
"white",6,7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4
"white",6,6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11
"white",6,6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4
"white",6,6.7,0.21,0.48,14.8,0.05,31,195,0.99942,2.95,0.75,8.8
"white",6,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2
"white",6,7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10
"white",6,8.3,0.3,0.36,10,0.042,33,169,0.9982,3.23,0.51,9.3
"white",6,6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9
"white",6,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9
"white",6,5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4
"red",6,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3
"red",6,6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8
"white",6,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6
"white",6,8.1,0.2,0.49,8.1,0.051,51,205,0.9954,3.1,0.52,11
"white",6,6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4
"white",6,7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11
"red",6,5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5
"red",6,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2
"white",6,7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8
"white",6,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2
"white",6,5.9,0.435,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2
"white",6,7.8,0.26,0.27,1.9,0.051,52,195,0.9928,3.23,0.5,10.9
"white",6,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9
"white",6,7,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5
"white",6,5.7,0.2,0.3,2.5,0.046,38,125,0.99276,3.34,0.5,9.9
"red",6,6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4
"white",6,7.9,0.2,0.34,1.2,0.04,29,118,0.9932,3.14,0.41,10.6
"white",6,7.3,0.25,0.27,3.8,0.047,16,79,0.99173,3.07,0.46,11.3
"red",6,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3
"red",6,6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7
"white",6,7,0.55,0.05,8,0.036,19,164,0.99269,3.26,0.46,12.2
"white",6,6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1
"white",6,6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4
"white",6,6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11
"white",6,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2
"white",6,5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4
"white",6,6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8
"white",6,7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7
"white",6,6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5
"white",6,7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6
"white",6,8.3,0.22,0.34,1.1,0.043,20,116,0.9927,3,0.47,10.2
"red",6,12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3
"red",6,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8
"white",6,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2
"white",6,7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9
"white",6,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6
"white",6,7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10
"white",6,6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9
"white",6,7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1
"red",6,7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1
"white",6,7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2
"white",6,5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2
"red",6,7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3
"white",6,8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2
"white",6,6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11
"red",6,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4
"red",6,7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8
"white",6,7.9,0.22,0.45,14.2,0.038,53,141,0.9992,3.03,0.46,9.2
"white",6,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6
"white",6,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7
"white",6,6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3
"white",6,9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2
"white",6,6.9,0.19,0.28,3,0.054,33,99,0.9924,3.16,0.4,10.8
"white",6,6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8
"white",6,5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1
"white",6,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2
"white",6,6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3
"white",6,6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2
"white",6,6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1
"white",6,6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5
"white",6,7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2
"red",6,6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2
"white",6,6.9,0.21,0.81,1.1,0.137,52,123,0.9932,3.03,0.39,9.2
"white",6,6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3
"white",6,6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2
"red",6,5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5
"white",6,6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5
"white",6,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9
"white",6,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9
"red",6,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8
"red",6,6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3
"white",6,6,0.26,0.32,3.8,0.029,48,180,0.99011,3.15,0.34,12
"white",6,8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4
"white",6,7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6
"white",6,6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1
"red",6,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1
"white",6,8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7
"red",6,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1
"white",6,6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7
"white",6,7,0.33,0.78,9.9,0.042,21,251,0.99435,3.01,0.55,11
"white",6,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2
"white",6,7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1
"red",6,7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5
"red",6,7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2
"white",6,7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5
"white",6,7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3
"white",6,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7
"white",6,6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1
"white",6,6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1
"white",6,6,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1
"white",6,6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4
"white",6,6.9,0.24,0.37,6.1,0.027,38,112,0.99086,3.19,0.34,12.4
"white",6,8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2
"white",6,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12
"white",6,7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4
"white",6,7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3
"white",6,7.1,0.32,0.29,4,0.038,33,170,0.99463,3.27,0.64,10.2
"white",6,7.4,0.19,0.3,1.4,0.057,33,135,0.993,3.12,0.5,9.6
"white",6,6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9
"red",6,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2
"red",6,6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8
"white",6,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6
"white",6,5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9
"red",6,10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10
"white",6,6.8,0.23,0.39,16.1,0.053,71,194,0.9988,3.18,0.64,10.2
"white",6,7.2,0.23,0.82,1.3,0.149,70,109,0.99304,2.93,0.42,9.2
"white",6,6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11
"white",6,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4
"red",6,12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3
"white",6,6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1
"red",6,6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6
"white",6,6,0.35,0.51,1.2,0.029,10,102,0.9903,3.46,0.42,11.9
"red",6,7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8
"white",6,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5
"red",6,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9
"white",6,8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6
"white",6,6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9
"white",6,7,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8
"white",6,8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10
"white",6,7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5
"white",6,6.8,0.29,0.32,1.8,0.032,18,130,0.99095,3.05,0.62,11.2
"red",6,10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7
"red",6,7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5
"red",6,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9
"white",6,5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2
"white",6,7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9
"white",6,7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7
"white",6,7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9
"white",6,8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4
"white",6,5.7,0.33,0.32,1.4,0.043,28,93,0.9897,3.31,0.5,12.3
"white",6,6,0.27,0.26,1.3,0.038,32,138,0.99125,3.46,0.43,11.1
"white",6,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5
"white",6,6.5,0.29,0.26,7,0.04,18,113,0.99366,3.17,0.38,10.2
"white",6,5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8
"white",6,8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5
"red",6,6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3
"red",6,7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9
"red",6,7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2
"white",6,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5
"white",6,7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6
"red",6,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1
"white",6,5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4
"white",6,5.3,0.32,0.12,6.6,0.043,22,141,0.9937,3.36,0.6,10.4
"white",6,6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2
"white",6,6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8
"white",6,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8
"red",6,9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7
"red",6,8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5
"white",6,6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9
"white",6,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8
"red",6,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5
"white",6,6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9
